histeq
buckets,10000
bitflips,16
runs,10
loads,438530
bucket_size,43

Architecture:                       x86_64
CPU op-mode(s):                     32-bit, 64-bit
Address sizes:                      48 bits physical, 48 bits virtual
Byte Order:                         Little Endian
CPU(s):                             256
On-line CPU(s) list:                0-255
Vendor ID:                          AuthenticAMD
Model name:                         AMD EPYC 7763 64-Core Processor
CPU family:                         25
Model:                              1
Thread(s) per core:                 2
Core(s) per socket:                 64
Socket(s):                          2
Stepping:                           1
BogoMIPS:                           4891.11
Flags:                              fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf rapl pni pclmulqdq monitor ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt tce topoext perfctr_core perfctr_nb bpext perfctr_llc mwaitx cpb cat_l3 cdp_l3 invpcid_single hw_pstate ssbd mba ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid cqm rdt_a rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 xsaves cqm_llc cqm_occup_llc cqm_mbm_total cqm_mbm_local clzero irperf xsaveerptr rdpru wbnoinvd amd_ppin brs arat npt lbrv svm_lock nrip_save tsc_scale vmcb_clean flushbyasid decodeassists pausefilter pfthreshold v_vmsave_vmload vgif v_spec_ctrl umip pku ospke vaes vpclmulqdq rdpid overflow_recov succor smca
Virtualization:                     AMD-V
L1d cache:                          4 MiB (128 instances)
L1i cache:                          4 MiB (128 instances)
L2 cache:                           64 MiB (128 instances)
L3 cache:                           512 MiB (16 instances)
NUMA node(s):                       8
NUMA node0 CPU(s):                  0-15,128-143
NUMA node1 CPU(s):                  16-31,144-159
NUMA node2 CPU(s):                  32-47,160-175
NUMA node3 CPU(s):                  48-63,176-191
NUMA node4 CPU(s):                  64-79,192-207
NUMA node5 CPU(s):                  80-95,208-223
NUMA node6 CPU(s):                  96-111,224-239
NUMA node7 CPU(s):                  112-127,240-255
Vulnerability Gather data sampling: Not affected
Vulnerability Itlb multihit:        Not affected
Vulnerability L1tf:                 Not affected
Vulnerability Mds:                  Not affected
Vulnerability Meltdown:             Not affected
Vulnerability Mmio stale data:      Not affected
Vulnerability Retbleed:             Not affected
Vulnerability Spec store bypass:    Mitigation; Speculative Store Bypass disabled via prctl
Vulnerability Spectre v1:           Mitigation; usercopy/swapgs barriers and __user pointer sanitization
Vulnerability Spectre v2:           Mitigation; Retpolines, IBPB conditional, IBRS_FW, STIBP always-on, RSB filling, PBRSB-eIBRS Not affected
Vulnerability Srbds:                Not affected
Vulnerability Tsx async abort:      Not affected

bucket_id,error_rate=0/32,error_rate=1/32,error_rate=2/32,error_rate=3/32,error_rate=4/32,error_rate=5/32,error_rate=6/32,error_rate=7/32,error_rate=8/32,error_rate=9/32,error_rate=10/32,error_rate=11/32,error_rate=12/32,error_rate=13/32,error_rate=14/32,error_rate=15/32,
5551,0.0,0.8324203889999999,0.9343183180000001,0.994390744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5781,0.0,0.786945236,0.920629499,0.997504416,0.993317359,0.9976233709999999,0.995234322,1.0,0.999619422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5871,0.0,0.7649964069999999,0.9261743069999999,0.980901776,1.0,1.0,0.9935411789999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5541,0.0,0.801946976,0.9083875060000001,0.999931711,0.995692333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5741,0.0,0.8002112610000001,0.929486101,0.997241644,0.995590616,0.9985725320000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5581,0.0,0.8370820469999998,0.9400842019999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5611,0.0,0.8483451609999999,0.942908582,0.9974182710000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5691,0.0,0.8124099810000001,0.914380094,1.0,0.996545252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5731,0.0,0.798887887,0.952312372,0.9923871,1.0,1.0,1.0,1.0,1.0,0.999592091,1.0,1.0,1.0,1.0,1.0,1.0,
5651,0.0,0.7770380509999999,0.9036800880000001,0.978708486,1.0,1.0,1.0,1.0,1.0,0.9944595700000001,1.0,1.0,1.0,1.0,1.0,1.0,
5671,0.0,0.8339090170000001,0.9107458640000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5681,0.0,0.7511361849999999,0.930916751,0.9824597350000002,0.9933244090000001,1.0,1.0,1.0,1.0,0.996417571,1.0,1.0,1.0,1.0,1.0,1.0,
5801,0.0,0.7999567370000001,0.9400661820000001,0.9946387399999999,1.0,1.0,1.0,0.9970989250000001,1.0,0.9945940029999999,1.0,1.0,1.0,1.0,1.0,1.0,
5771,0.0,0.8074749019999998,0.9084801020000001,0.9815287189999999,0.997936011,1.0,1.0,0.992280472,1.0,0.98979386,1.0,1.0,1.0,0.9983012450000001,1.0,1.0,
5931,0.0,0.7822368990000002,0.9545686090000001,1.0,0.9937562979999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5841,0.0,0.7747560119999999,0.9134243060000001,0.993709366,0.996957585,0.9932747469999998,1.0,1.0,1.0,0.9931201590000001,1.0,1.0,1.0,1.0,1.0,1.0,
5661,0.0,0.8151861370000001,0.9132266829999999,1.0,0.997512786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5901,0.0,0.7963311439999998,0.9485981669999999,0.9917337119999999,1.0,0.999980446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5421,0.0,0.804111056,0.9079167490000002,0.991127903,0.9955189539999999,1.0,1.0,1.0,0.99996541,0.9942635550000001,0.999170471,1.0,1.0,0.99802652,1.0,1.0,
7201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5711,0.0,0.733073268,0.918831602,0.9874471899999999,0.9999093560000001,1.0,0.992025713,1.0,0.9947798929999999,1.0,0.994917031,1.0,1.0,1.0,1.0,1.0,
7191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5791,0.0,0.7856692059999999,0.918999075,0.990531249,0.9945034030000001,0.9945907760000001,0.997272199,0.997043841,1.0,0.9944522750000001,1.0,1.0,1.0,1.0,1.0,1.0,
7521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5961,0.0,0.8265299110000001,0.9397849730000001,0.998269925,1.0,0.9965441049999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5761,0.0,0.7353281249999999,0.9425717,0.9917058759999999,1.0,0.9912027330000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6261,0.0,0.7265459070000001,0.958257856,0.9916748139999999,1.0,1.0,0.9913547040000001,1.0,0.997759877,1.0,0.9943126440000001,1.0,1.0,1.0,1.0,1.0,
5861,0.0,0.768741247,0.935777635,0.999664533,0.9924157060000001,0.9955682469999999,0.999824405,1.0,1.0,0.999770388,1.0,1.0,1.0,1.0,1.0,1.0,
5561,0.0,0.7343220309999999,0.9227303599999999,0.968466778,0.999569403,0.997050322,1.0,1.0,1.0,0.9920594389999999,1.0,1.0,1.0,1.0,1.0,1.0,
7301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5531,0.0,0.749062165,0.89894656,0.983053202,0.9939710510000002,0.9993083330000001,0.9990991109999999,1.0,1.0,0.9950163740000001,1.0,1.0,1.0,1.0,1.0,1.0,
7231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6001,0.0,0.7538547090000001,0.940404872,0.9844960369999999,0.995494943,1.0,0.9917597380000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996465804,
5811,0.0,0.792935059,0.928860588,0.9897619559999999,1.0,0.995750327,0.9976483330000001,1.0,1.0,1.0,1.0,1.0,0.999759517,1.0,1.0,1.0,
7221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6101,0.0,0.7942842240000002,0.9225443029999999,0.970783287,1.0,1.0,0.997733226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5621,0.0,0.765281975,0.9460044140000001,1.0,0.9959899489999999,0.9959068160000001,0.992883001,0.9989442480000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6071,0.0,0.744609514,0.9485047169999999,1.0,1.0,1.0,0.997064813,1.0,0.9968977239999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5921,0.0,0.7362650260000001,0.9481747760000001,0.997435327,0.9980668469999999,1.0,1.0,1.0,1.0,0.999971476,1.0,1.0,1.0,1.0,1.0,1.0,
7241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6131,0.0,0.795574569,0.9486143969999998,1.0,0.998275602,1.0,1.0,1.0,1.0,0.9981425099999999,1.0,1.0,1.0,1.0,1.0,1.0,
7371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5911,0.0,0.813316438,0.931545149,0.9905633220000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5831,0.0,0.7526571050000002,0.94853796,0.9875394780000001,1.0,0.9997128499999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6381,0.0,0.768037964,0.9388505599999999,0.9955337719999999,1.0,1.0,0.9961641159999999,1.0,1.0,0.999794831,1.0,1.0,1.0,1.0,1.0,1.0,
7351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6291,0.0,0.812660839,0.928271463,0.989691197,0.9969227870000001,1.0,1.0,0.9962030949999999,1.0,0.993690702,1.0,1.0,1.0,1.0,1.0,1.0,
5891,0.0,0.78141798,0.901926132,0.9879209660000001,0.9984789119999998,1.0,1.0,1.0,1.0,1.0,1.0,0.9998695120000001,1.0,0.992873552,1.0,1.0,
7171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5991,0.0,0.7977032060000001,0.972615574,0.999115933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6021,0.0,0.7821166520000001,0.959847362,0.991636519,0.9994342030000001,0.992906001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6411,0.0,0.792599346,0.9207533250000001,0.991308651,1.0,1.0,0.9992069990000001,1.0,1.0,0.9944327770000001,1.0,1.0,1.0,0.9990087169999999,1.0,1.0,
6371,0.0,0.809761566,0.9647366789999999,0.997371101,1.0,0.999794537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5971,0.0,0.7659496330000001,0.928538885,0.977867804,0.996611107,1.0,1.0,1.0,1.0,0.9896694,1.0,1.0,1.0,1.0,1.0,1.0,
7341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5941,0.0,0.778496837,0.9272091899999999,0.999874986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6041,0.0,0.8023349910000002,0.915962782,0.9968173410000001,0.997941593,0.9978898810000001,1.0,0.999966801,0.9971399910000001,1.0,0.995219558,1.0,1.0,1.0,1.0,1.0,
6191,0.0,0.810963747,0.928466899,0.991521923,0.9902938930000001,1.0,1.0,0.99679859,1.0,0.9947934440000001,1.0,1.0,1.0,1.0,1.0,1.0,
7491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6031,0.0,0.760030883,0.9477001829999999,0.986994468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999934193,1.0,0.998665396,1.0,1.0,
7161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6341,0.0,0.8159983800000001,0.927240036,0.9958284799999999,1.0,0.9911813890000001,0.995500423,0.997431286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6061,0.0,0.750247692,0.939721048,0.9904075410000001,1.0,1.0,0.999104934,1.0,0.995873098,0.989181269,1.0,1.0,1.0,1.0,1.0,1.0,
7381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6051,0.0,0.7834825289999999,0.9598264870000002,0.9903056109999999,0.9989725759999999,1.0,1.0,1.0,1.0,0.993060638,1.0,1.0,1.0,1.0,1.0,1.0,
6351,0.0,0.838437964,0.9384160890000001,0.999354272,0.9993829240000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6161,0.0,0.8003087040000001,0.9351528269999999,0.993120191,0.9932552649999999,0.996246768,0.996315282,0.9987086420000001,1.0,1.0,0.996526134,1.0,1.0,1.0,1.0,1.0,
7331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6011,0.0,0.7440212770000001,0.936764149,0.996947784,1.0,1.0,1.0,1.0,1.0,0.9903210579999999,1.0,1.0,1.0,1.0,1.0,1.0,
6091,0.0,0.7425806629999999,0.9219378559999999,0.987743704,0.995847554,0.999087669,0.9928285070000001,1.0,0.9998297620000001,0.993417159,0.9994471349999999,1.0,1.0,1.0,1.0,1.0,
6311,0.0,0.798590811,0.952220238,0.9930228480000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6361,0.0,0.776390244,0.9367801799999999,0.99265253,0.997083447,1.0,0.9987548159999999,0.9984210960000001,1.0,0.9998803909999999,1.0,1.0,1.0,1.0,1.0,1.0,
6081,0.0,0.7817844469999999,0.927752566,0.985647338,0.9953167180000001,1.0,1.0,0.9991480920000001,1.0,0.9947673590000001,0.999699624,1.0,1.0,1.0,1.0,1.0,
6271,0.0,0.7907392900000001,0.930054098,0.986279122,0.992890951,1.0,0.994618007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5951,0.0,0.737164282,0.9312152099999998,0.991158067,0.995275101,1.0,1.0,1.0,1.0,1.0,0.997380888,1.0,1.0,1.0,1.0,1.0,
6141,0.0,0.7696980609999999,0.938739769,0.9830211779999999,0.994125632,0.994980142,0.9935197390000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999640187,1.0,
5881,0.0,0.8062697550000001,0.9429647509999999,0.9929344529999999,1.0,1.0,1.0,0.997295559,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5981,0.0,0.7518462499999999,0.9244413080000001,0.975168343,1.0,1.0,1.0,1.0,0.997151597,0.991616373,0.9989420429999999,1.0,1.0,1.0,1.0,1.0,
6321,0.0,0.7756203770000001,0.967349591,0.994823233,1.0,0.9901542369999999,0.9981689429999999,0.9974541909999999,1.0,1.0,1.0,1.0,1.0,0.9981127510000001,1.0,1.0,
7421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6121,0.0,0.758599759,0.9233695840000001,0.987545685,0.996611265,0.998999944,0.994738437,1.0,1.0,1.0,1.0,1.0,0.99836871,0.998103066,1.0,1.0,
7411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6241,0.0,0.741304703,0.938765783,1.0,0.996796643,1.0,0.9982136019999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999467621,
6201,0.0,0.7535877329999999,0.937102712,0.996066879,0.999254015,0.9883004339999999,0.996099596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99667365,
6151,0.0,0.774810704,0.9464440759999999,0.9959887590000001,0.999510843,1.0,0.9927236909999999,1.0,1.0,0.991690045,0.9996296319999999,1.0,1.0,1.0,1.0,1.0,
6421,0.0,0.771023479,0.940637525,0.9817621879999999,1.0,1.0,0.997784223,1.0,0.996799763,0.9939370780000001,1.0,1.0,0.9964280500000001,0.9990747640000001,1.0,1.0,
7481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6111,0.0,0.7893844470000002,0.939697064,0.9954744919999999,0.997426849,0.9989088800000001,0.9933523510000001,1.0,1.0,1.0,1.0,1.0,1.0,0.998349718,1.0,1.0,
6221,0.0,0.776821737,0.936174461,0.993013189,0.9980711079999999,0.9972418130000001,0.996754087,0.996536865,0.999443158,1.0,0.9979216770000001,1.0,1.0,1.0,1.0,1.0,
6171,0.0,0.783166599,0.958668154,0.970135294,0.9998518869999999,1.0,0.9972488150000001,0.9998947730000001,1.0,0.987538771,1.0,1.0,1.0,1.0,1.0,0.9989116360000001,
6181,0.0,0.7888355610000002,0.928430008,0.9931601650000002,0.9907578950000001,0.99887221,0.9936431259999999,1.0,0.9976674830000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6231,0.0,0.778042924,0.9298296070000001,0.9807738260000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6251,0.0,0.814542904,0.9421142250000001,0.993663755,1.0,1.0,0.999090803,1.0,1.0,0.996334594,1.0,1.0,1.0,1.0,1.0,1.0,
6211,0.0,0.768247182,0.9457327560000002,0.976639806,1.0,0.999346158,1.0,1.0,1.0,0.978822708,1.0,1.0,1.0,1.0,1.0,1.0,
6281,0.0,0.79272816,0.966152005,0.9976309709999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6511,0.0,0.753384541,0.919733928,0.978611087,1.0,1.0,1.0,0.9985574859999999,0.9956267500000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6401,0.0,0.765652699,0.9320638899999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6391,0.0,0.7611366450000001,0.9491850750000002,0.9904829209999999,0.998405222,1.0,0.998650971,1.0,0.9984840970000001,0.9982052379999999,1.0,1.0,1.0,1.0,1.0,1.0,
6491,0.0,0.775947765,0.9458048980000001,0.9972317869999999,1.0,0.9993632439999999,1.0,1.0,1.0,0.997962601,1.0,1.0,1.0,1.0,1.0,1.0,
6451,0.0,0.76811241,0.9373320360000001,0.99155251,1.0,1.0,0.998168236,1.0,1.0,0.9873423930000002,1.0,1.0,1.0,1.0,0.998324107,1.0,
6461,0.0,0.7826194369999999,0.92521739,0.9947515469999999,0.9908329800000001,1.0,1.0,1.0,1.0,0.989304951,1.0,1.0,1.0,1.0,1.0,1.0,
7501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6701,0.0,0.752839995,0.9244215219999999,0.988918894,0.9900550600000001,1.0,1.0,1.0,1.0,0.9840092649999999,1.0,1.0,1.0,1.0,1.0,1.0,
6591,0.0,0.8110015819999999,0.935346308,0.995216353,1.0,1.0,1.0,1.0,1.0,0.993869002,1.0,1.0,1.0,1.0,1.0,1.0,
6331,0.0,0.771578918,0.911674616,0.9932127079999999,0.994506872,1.0,1.0,1.0,1.0,0.9892498420000001,1.0,1.0,1.0,1.0,1.0,1.0,
6301,0.0,0.7599586899999999,0.941369828,0.9922083220000001,1.0,0.997282309,1.0,1.0,1.0,0.9891965450000001,1.0,1.0,1.0,0.999203276,1.0,1.0,
6581,0.0,0.7556675559999999,0.9080252340000001,0.9846379439999999,0.994037262,1.0,0.998572412,1.0,1.0,0.985523751,1.0,0.9992812929999999,1.0,1.0,1.0,1.0,
6821,0.0,0.7871667260000001,0.9287078469999999,0.99649801,1.0,0.994711376,1.0,1.0,0.997106832,0.9973498949999999,1.0,1.0,1.0,1.0,1.0,1.0,
6621,0.0,0.7762259329999999,0.923033184,0.9923121219999999,0.9948284959999999,1.0,1.0,1.0,1.0,0.991583861,1.0,1.0,1.0,1.0,1.0,1.0,
6551,0.0,0.763541172,0.9416086590000001,0.9841420280000002,1.0,0.999751339,0.9986983909999999,1.0,1.0,0.9845908720000001,1.0,1.0,1.0,0.994213935,0.9994752379999999,1.0,
6431,0.0,0.7328147359999999,0.9191989429999999,0.9953334760000001,0.9962873779999999,0.9921042339999999,0.998104315,0.998863372,1.0,1.0,0.9955415930000001,0.999298894,1.0,0.9925371999999999,1.0,1.0,
6561,0.0,0.807621163,0.952103842,1.0,0.995601006,0.9945779699999999,1.0,0.995297596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6531,0.0,0.768091941,0.9518650300000001,0.998148778,1.0,1.0,1.0,1.0,1.0,0.989593333,1.0,1.0,1.0,1.0,1.0,1.0,
6741,0.0,0.77019835,0.9549346450000001,1.0,0.9995328320000001,0.9958295960000001,1.0,0.999622789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6441,0.0,0.809730828,0.948481044,0.9966196010000001,0.9973421630000001,1.0,1.0,1.0,1.0,0.9860328870000001,1.0,1.0,1.0,1.0,1.0,1.0,
6681,0.0,0.7327044810000001,0.91540877,0.985887448,0.9967094839999999,0.9903736760000001,0.99596319,1.0,1.0,1.0,0.9974926329999999,1.0,1.0,1.0,1.0,1.0,
6691,0.0,0.8016807229999999,0.93986726,1.0,1.0,1.0,0.998372053,1.0,0.996361729,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6671,0.0,0.748274356,0.927070748,0.9931721880000002,0.994691839,1.0,0.9963211000000001,1.0,1.0,0.9893942260000002,0.997303997,0.993900948,1.0,0.9977251600000001,1.0,1.0,
6611,0.0,0.6998191800000001,0.913676684,0.9790458310000002,0.99589517,0.9950905800000001,0.99145921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6811,0.0,0.765611415,0.944540063,1.0,0.996883152,1.0,1.0,0.9978730739999999,1.0,0.9801342369999999,1.0,0.99826158,1.0,1.0,1.0,1.0,
7571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6571,0.0,0.7549247809999999,0.920236657,0.9852508019999998,0.992584705,0.9962738379999999,0.99180846,1.0,0.996574739,1.0,0.998372107,1.0,1.0,1.0,1.0,1.0,
6541,0.0,0.737380809,0.9253280260000001,0.9908023719999999,0.993828823,1.0,0.994161229,1.0,1.0,0.98288336,0.99783814,0.9977995590000001,1.0,1.0,1.0,1.0,
6841,0.0,0.79772141,0.9392679600000001,0.999960226,0.997893889,0.9958278970000001,0.9947141689999999,0.9951451370000001,1.0,1.0,0.995996724,1.0,1.0,1.0,1.0,1.0,
6751,0.0,0.776421341,0.9181778960000001,0.997574359,0.9917500199999999,1.0,1.0,1.0,1.0,0.9828555029999999,1.0,1.0,1.0,1.0,1.0,1.0,
6601,0.0,0.7721866220000001,0.927608434,0.984169417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993068089999999,1.0,1.0,1.0,
6501,0.0,0.791804345,0.9259117590000001,0.989238246,1.0,0.9933222379999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6781,0.0,0.741115035,0.9345844340000001,0.992801298,0.992266983,1.0,0.995168702,1.0,0.997047755,0.995807521,0.999122616,1.0,1.0,1.0,1.0,1.0,
